SIEC (Labels),Total,Combustible fuels,Hydro,Pumped hydro power,Geothermal,Wind,Solar,"Tide, wave, ocean",Nuclear fuels and other fuels n.e.c.,Other fuels n.e.c. - heat from chemical sources,Other fuels n.e.c.
European Union - 27 countries (from 2020),"2,908,932.29","1,293,350.90","345,265.18","25,382.89","6,725.81","367,115.55","125,717.47",498.964,"765,337.86","1,038.50","3,882.07"
European Union - 28 countries (2013-2020),"3,231,776.22","1,475,052.74","352,956.42","27,139.30","6,725.81","431,450.40","138,635.54",512.955,"821,521.79","1,038.50","3,882.07"
Euro area - 19 countries  (from 2015),"2,309,109.55","1,002,985.47","248,475.35","22,502.94","6,615.91","305,025.85","116,252.77",498.964,"624,838.19",913.67,"3,503.37"
Belgium,"93,746.00","34,632.80","1,181.20",879.2,0,"9,725.60","4,247.00",0,"43,523.60",424.9,10.9
Bulgaria,"44,301.77","21,573.29","3,382.75",453.246,0,"1,316.99","1,442.47",0,"16,555.29",30.997,0
Czechia,"87,030.61","50,474.01","3,174.69","1,166.66",0,700.014,"2,311.57",0,"30,246.21",36.689,87.422
Denmark,"29,525.77","12,395.45",17.217,0,0,"16,149.83",963.269,0,0,0,0
Germany (until 1990 former territory of the FRG),"609,065.00","334,353.00","25,671.00","5,940.00",197,"125,894.00","46,392.00",0,"75,071.00",0,"1,487.00"
Estonia,"7,615.59","6,836.09",19,0,0,687,73.5,0,0,0,0
Ireland,"30,940.94","19,768.20","1,131.90",245.319,0,"10,019.49",21.35,0,0,0,0
Greece,"48,626.17","32,880.42","4,050.90",51,0,"7,266.35","4,428.51",0,0,0,0
Spain,"273,257.00","117,125.00","26,874.00","2,228.00",0,"55,647.00","15,103.00",20,"58,349.00",0,139
France,"570,844.57","62,147.66","61,572.66","4,658.77",128.486,"34,721.68","12,225.18",478.964,"399,011.59",0,558.342
Croatia,"12,760.30","5,185.40","5,932.60",106.5,91.9,"1,467.30",83.1,0,0,0,0
Italy,"293,853.21","195,084.03","48,153.52","1,834.98","6,074.86","20,202.04","23,688.90",0,0,0,649.858
Cyprus,"5,141.49","4,684.66",0,0,0,238.565,218.267,0,0,0,0
Latvia,"6,438.39","4,173.70","2,107.55",0,0,153.999,3.137,0,0,0,0
Lithuania,"3,971.60","1,210.40",947.7,602.3,0,"1,499.40",91.1,0,0,223,0
Luxembourg,"1,907.97",547.011,949.291,842.376,0,281.283,130.385,0,0,0,0
Hungary,"34,154.00","15,292.00",219,0,18,729,"1,497.00",0,"16,288.00",0,111
Malta,"2,076.04","1,864.39",0,0,0,0.058,211.6,0,0,0,0
Netherlands,"121,061.55","99,619.97",74.182,0,0,"11,507.93","5,335.46",0,"3,909.75",0,614.268
Austria,"74,234.30","21,208.48","43,833.40","3,378.05",0.2,"7,477.36","1,702.09",0,0,12.77,0
Poland,"163,988.50","145,268.77","2,664.88",706.466,0,"15,106.76",710.673,0,0,57.141,180.279
Portugal,"53,154.17","27,687.09","10,242.52","1,424.80",215.36,"13,666.95","1,342.25",0,0,0,0
Romania,"59,622.81","23,786.51","16,005.70",425.079,0,"6,772.81","1,777.62",0,"11,280.17",0,0
Slovenia,"16,099.56","5,286.58","4,682.54",203.143,0,6.15,303.039,0,"5,821.26",0,0
Slovakia,"28,434.00","7,953.00","4,571.00",215,0,6,589,0,"15,282.00",0,33
Finland,"68,642.00","25,923.00","12,413.00",0,0,"6,025.00",147,0,"23,870.00",253,11
Sweden,"168,439.00","16,390.00","65,393.00",22,0,"19,847.00",679,0,"66,130.00",0,0
Iceland,"19,488.84",2.662,"13,461.47",0,"6,018.14",6.569,0,0,0,0,0
Liechtenstein,102,2,74,0,0,0,26,0,0,0,0
Norway,"135,292.00","3,010.56","126,404.10",884,0,"5,536.25",12.842,0,0,328.25,0
United Kingdom,"322,843.92","181,701.85","7,691.24","1,756.41",0,"64,334.84","12,918.07",13.991,"56,183.93",0,0
Montenegro,"3,433.30","1,504.40","1,633.50",0,0,295.4,0,0,0,0,0
North Macedonia,"5,869.77","4,581.06","1,163.67",0,0,101.807,23.225,0,0,0,0
Albania,"5,206.04",0,"5,183.85",0,0,0,22.196,0,0,0,0
Serbia,"37,600.03","26,490.03","10,198.24",741.064,0,898.212,13.546,0,0,0,0
Turkey,"303,897.56","174,041.04","88,822.78",0,"8,951.74","21,730.71","9,249.83",0,0,0,"1,101.46"
Bosnia and Herzegovina,"17,493.00","11,037.00","6,172.00",71,0,254,30,0,0,0,0
Kosovo (under United Nations Security Council Resolution 1244/99),"6,348.20","6,036.58",210.495,0,0,90.649,10.479,0,0,0,0
Moldova,941,830,65,0,0,43,3,0,0,0,0
Ukraine,"154,141.00","58,201.10","7,855.10","1,346.80",0,"2,020.20","2,932.80",0,"83,002.70",129.1,0
Georgia,"11,856.80","2,840.41","8,931.70",0,0,84.694,0,0,0,0,0
